Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Soul Satori,2. Thin Man Corridor > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730982/soul-satori,3.8,-1,Boulder,V0,1,20,43.42248,-89.72426
Freaky Flake,Mega Slab Boulder > Heart of Stones > 05. CCC Grottos > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123493732/freaky-flake,4,-1,Boulder,V0- PG13,1,,43.4132,-89.71377
Welcome Crack 1,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111401462/welcome-crack-1,2.1,-1,Boulder,V0,1,12,43.42737,-89.72684
Footstone,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435635/footstone,2.5,-1,Boulder,V2,1,,43.41383,-89.7149
Shawn's Slab,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435458/shawns-slab,2.1,-1,Boulder,V0,1,,43.42157,-89.72333
Plumage,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114300305/plumage,3.5,-1,Boulder,V2,1,,43.41357,-89.70137
Emily's Naptime,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435290/emilys-naptime,2.2,-1,Boulder,V1+,1,18,43.42748,-89.72686
Banana Split,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107156854/banana-split,2.8,-1,Boulder,V3,1,18,43.4,-89.74329
Horseshoes & Hand Grenades,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730679/horseshoes-hand-grenades,2.3,-1,Boulder,V2,1,15,43.42748,-89.72686
Anarchist Crack,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107566472/anarchist-crack,3.1,-1,"Trad, Boulder",5.6 V0,1,25,43.41325,-89.71177
Saddle Sores,D'Arcy's Buttress > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106573243/saddle-sores,3.1,-1,Boulder,V2,1,,43.41356,-89.71228
Pink T-shirts and Berry Skoal,6. Monolith Ridge - West Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107798751/pink-t-shirts-and-berry-skoal,2.3,-1,Boulder,V2,1,10,43.42157,-89.72367
Book of Glass,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106528491/book-of-glass,2.8,-1,Boulder,V0,1,,43.42098,-89.73728
Purple Bud,3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111004747/purple-bud,2,-1,Boulder,V0,1,10,43.42737,-89.72676
The Giese Dome,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435315/the-giese-dome,2.9,-1,Boulder,V2,1,12,43.42699,-89.72633
Joan of Arc,"Heroine's Corridor > 4.  Gom Jabbar > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/119723851/joan-of-arc,3.7,-1,Boulder,V2,1,18,43.42363,-89.73765
Thunderbird Bulge,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435422/thunderbird-bulge,2.6,-1,Boulder,V3,1,,43.42157,-89.72333
Insomnia,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107186195/insomnia,3.4,-1,Boulder,V3 PG13,1,18,43.4249,-89.73602
Arrested Layback,Triple Tower Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106487987/arrested-layback,3.4,-1,Boulder,V0+,1,22,43.4263,-89.718
Left Crack,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435602/left-crack,3.1,-1,Boulder,V0,1,,43.41383,-89.7149
Thin Crack,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435621/thin-crack,2.9,-1,Boulder,V1,1,,43.41383,-89.7149
Easy Corner,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106490590/easy-corner,2,-1,Boulder,V1,1,,43.41885,-89.737
Textured Face,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106777186/textured-face,2.4,-1,Boulder,V0,1,,43.41383,-89.7149
Heaven's Gate,Heavenly Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118973108/heavens-gate,3.5,-1,Boulder,V3 R,1,,43.41953,-89.73738
Tutu Slab,"1.  The Instrumentals > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/119200967/tutu-slab,3.5,-1,Boulder,V2,1,18,43.42707,-89.73667
The Great Eye,"Walrus > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107920334/the-great-eye,3.2,-1,Boulder,V1,1,15,43.42657,-89.73606
Lou Reed Arete,Lou Reed > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435506/lou-reed-arete,2.8,-1,Boulder,V3,1,15,43.41471,-89.72476
Corner Crack,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107160192/corner-crack,2,-1,Boulder,V1,1,,43.4,-89.74329
face left of west face lake boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106273022/face-left-of-west-face-lake-boulder,3.3,-1,Boulder,V3,1,,43.40436,-89.72961
Struggle Bus,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118985532/struggle-bus,3.3,-1,Boulder,V2,1,,43.40436,-89.72961
"I Don't Know, B",2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107485942/i-dont-know-b,2.3,-1,Boulder,V0,1,15,43.42737,-89.72684
Welcome Crack,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106274024/welcome-crack,2.9,-1,Boulder,V0+,1,,43.40436,-89.72961
Shorty,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486302/shorty,2.2,-1,Boulder,V2,1,6,43.4,-89.74329
Geometridae Style,Cave Rock Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120057820/geometridae-style,3.5,-1,Boulder,V2 PG13,1,18,43.42156,-89.73737
Bride of the Fox,"Happy Go Highball > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/115180620/bride-of-the-fox,3.5,-1,Boulder,V2 X,1,30,43.42472,-89.73707
Stankonia,Triple Tower Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106487934/stankonia,3.5,-1,Boulder,V2+,1,20,43.4263,-89.718
Welcome route,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106274055/welcome-route,2.2,-1,Boulder,V0+,1,,43.40436,-89.72961
Show Me Mercy,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106491012/show-me-mercy,2.3,-1,Boulder,V1+,1,15,43.42699,-89.72633
Yankee Buzzard,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114300249/yankee-buzzard,3.1,-1,Boulder,V0,1,,43.41357,-89.70137
Empty Space,Loompa Land > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107320384/empty-space,3.1,-1,Boulder,V2,1,12,43.41962,-89.73644
Confidence Booster,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107485962/confidence-booster,1.8,-1,Boulder,V-easy,1,15,43.42737,-89.72684
I See the Bucket,3. West Post > 09. East of the East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112270173/i-see-the-bucket,3.3,-1,Boulder,V3,1,20,43.41288,-89.70783
Mary Queen of Scots,"Heroine's Corridor > 4.  Gom Jabbar > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/119724020/mary-queen-of-scots,3.3,-1,Boulder,V3,1,20,43.42363,-89.73765
The Urumi,Scarlet Macaw > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118632100/the-urumi,3.3,-1,Boulder,V3 R,1,,43.4265,-89.72653
Bonamici Arete (aka Tequila),Tequila > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109325139/bonamici-arete-aka-tequila,3.3,-1,Boulder,V3 PG13,1,,43.42259,-89.72444
Seams Fun,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107256702/seams-fun,2.6,-1,Boulder,V2,1,,43.4249,-89.73602
Corner,05. Trail Side Boulder > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106509010/corner,2.4,-1,Boulder,V1-2,1,,43.4178,-89.73671
