,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
362,Simonâ€™s Butter Sculpture,B Sides and Rareities > 05. CCC Grottos > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118748327/simons-butter-sculpture,2.5,-1,Boulder,V3 PG13,1,,43.41256,-89.71353,2,317,9,"Apr10,2020"
363,Short String,Short String > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118938133/short-string,2.5,-1,Boulder,V1,1,9.0,43.42003,-89.72368,2,295,8,"May26,2020"
364,Neutral,Bird-Foot Buttress > 09. East of the East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112828828/neutral,2.5,-1,Boulder,V3,1,12.0,43.41264,-89.70638000000001,2,653,9,"Apr16,2017"
365,The Stork,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114315623/the-stork,2.5,-1,Boulder,V1-2,1,15.0,43.41357,-89.70137,2,487,8,"Apr29,2018"
366,Blarney,"Blarney > 4.  Gom Jabbar > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/118883109/blarney,2.5,-1,Boulder,V1+,1,,43.42347,-89.7377,2,271,8,"May16,2020"
367,Mezzanine Credit,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111719583/mezzanine-credit,2.5,-1,Boulder,V2-3,1,12.0,43.41325,-89.71177,2,693,8,"Mar23,2016"
368,Featherweight,10. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114301396/featherweight,2.5,-1,Boulder,V1,1,20.0,43.41278,-89.70451,2,460,8,"Apr26,2018"
369,Boo boo,Sunny & 60s > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109578287/boo-boo,2.5,-1,Boulder,V3,1,6.0,43.42442,-89.72506,2,679,7,"Oct12,2014"
370,Pigment Party,Fire Rhoad Bluff > North of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111442556/pigment-party,2.5,-1,Boulder,V2,1,12.0,43.42327,-89.74022,2,526,6,"Dec20,2015"
371,Whale's Tail,"Whale's Tale > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107645106/whales-tail,2.5,-1,Boulder,V2,1,,43.42696,-89.73562,2,719,5,"Jun6,2012"
372,Jockey Rocket,Jockey Rocket > 02. Horse Rampart Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/110937491/jockey-rocket,2.5,-1,Boulder,V2,1,,43.416109999999996,-89.72570999999999,2,491,5,"Aug25,2015"
373,The Pony,Jockey Rocket > 02. Horse Rampart Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/110932642/the-pony,2.5,-1,Boulder,V2,1,,43.416109999999996,-89.72570999999999,2,476,5,"Aug24,2015"
374,One-Upper,1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107085081/one-upper,2.5,-1,"Trad, TR, Boulder",V2+ R,1,40.0,43.4137,-89.6863,2,717,5,"Mar30,2011"
375,What What!,"Snake Charmer > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107645202/what-what,2.5,-1,Boulder,V3+,1,,43.42754,-89.73544,2,564,4,"Jun6,2012"
376,The Shield,Shield > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106535344/the-shield,2.5,-1,Boulder,V1,1,,43.42042,-89.73722,2,472,3,"Sep3,2009"
377,The Whole Shack Shimmy,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119725907/the-whole-shack-shimmy,2.1,-1,Boulder,V0,1,10.0,43.4,-89.74329,9,471,16,"Oct11,2020"
378,The Grenadine Corner,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111401430/the-grenadine-corner,1.5,-1,Boulder,V-easy,1,15.0,43.427479999999996,-89.72686,22,910,10,"Dec9,2015"
379,Manhattan,6. Monolith Ridge - West Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106550817/manhattan,1.9,-1,Boulder,V1-2,1,10.0,43.42157,-89.72367,12,1288,8,"Sep21,2009"
380,Pocket Problem,Greatest Show Boulders > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435357/pocket-problem,2.3,-1,Boulder,V3,1,,43.424620000000004,-89.72344,4,1062,6,"May18,2009"
381,Two Balls In A Sack,White Knight > 02. Ghost Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108113383/two-balls-in-a-sack,2.0,-1,Boulder,V2,1,10.0,43.40899,-89.73649,11,553,5,"Apr28,2013"
382,Center Face,Steinke Wall Boulder > Steinke Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106487909/center-face,2.3,-1,Boulder,V3,1,16.0,43.4273,-89.7192,4,504,3,"Jul13,2009"
383,Not a Gimmie!,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106478153/not-a-gimmie,2.1,-1,Boulder,V1+,1,20.0,43.42252,-89.72391999999999,8,1240,7,"Jul2,2009"
384,The Bee's Knees,Whaler's Rock > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109699020/the-bees-knees,2.1,-1,Boulder,V0,1,10.0,43.41838,-89.72568000000001,7,725,7,"Nov11,2014"
385,Decapitation,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107566492/decapitation,2.1,-1,"Trad, Boulder",5.7 V0,1,20.0,43.41325,-89.71177,7,766,6,"Apr19,2012"
386,The Toucan,Scarlet Macaw > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121128037/the-toucan,2.3,-1,Boulder,V1,1,15.0,43.4265,-89.72653000000001,3,200,10,"Aug8,2021"
387,Prairie Dog Disco,6. Monolith Ridge - West Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118664281/prairie-dog-disco,2.3,-1,Boulder,V0+ PG13,1,20.0,43.42157,-89.72367,3,385,10,"Mar17,2020"
388,Jafar,2. Jafar > 09. East of the East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112315104/jafar,2.3,-1,Boulder,V1,1,,43.413109999999996,-89.70836,3,754,10,"Nov13,2016"
389,Burial,Heavenly Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118973195/burial,2.3,-1,Boulder,V3 R,1,25.0,43.41953,-89.73738,3,307,9,"Jun2,2020"
390,Spectacles,10. Vision Quest/Chode > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/115451930/spectacles,2.3,-1,Boulder,V3,1,,43.39887,-89.71191999999999,3,502,9,"Oct21,2018"
391,Guillotine West,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107566529/guillotine-west,2.3,-1,"Trad, Boulder",5.2 V-easy,1,30.0,43.41325,-89.71177,3,1117,8,"Apr19,2012"
392,Finches,10. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114301506/finches,2.3,-1,Boulder,V3-4,1,15.0,43.41278,-89.70451,3,473,8,"Apr26,2018"
393,Direct to Video,Cave Rock Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111054050/direct-to-video,2.3,-1,Boulder,V2,1,,43.42156,-89.73737,3,563,6,"Sep21,2015"
394,Lil Nuggie,Fire Rhoad Bluff > North of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111442598/lil-nuggie,2.3,-1,Boulder,V1,1,10.0,43.42327,-89.74022,3,543,6,"Dec20,2015"
395,Groth Arete,Balanced Rock Wall > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106851098/groth-arete,2.3,-1,Boulder,V3 PG13,1,17.0,43.41438,-89.72496,3,906,6,"Aug7,2010"
396,Ejaculation,06. Ejaculator Area > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106140861/ejaculation,2.3,-1,Boulder,V2,1,12.0,43.40376,-89.72385,3,964,5,"Apr14,2008"
397,Gopher,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107881170/gopher,2.3,-1,Boulder,V1 PG13,1,20.0,43.41325,-89.71177,3,657,5,"Nov8,2012"
398,An Intro to Heel Hooking,Heel Hooking > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107125264/an-intro-to-heel-hooking,2.3,-1,Boulder,V2,1,,43.41454,-89.72487,3,682,5,"May4,2011"
399,Roofie,Roofie > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107311926/roofie,2.3,-1,Boulder,V2,1,8.0,43.42167,-89.72417,3,560,4,"Oct2,2011"
400,Stride Right,02. February Wall > East Bluff 02 - East of the Quarry > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106871336/stride-right,2.3,-1,"Trad, TR, Boulder",5.9 V2- PG13,1,30.0,43.41404,-89.69763,3,613,4,"Aug26,2010"
401,Cherry Pop,Triple Tower Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106487939/cherry-pop,2.3,-1,Boulder,V2,1,12.0,43.4263,-89.71799999999999,3,663,4,"Jul13,2009"
402,Trust Face,Whaler's Rock > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107828347/trust-face,2.3,-1,Boulder,V3,1,,43.41838,-89.72568000000001,3,492,4,"Oct5,2012"
403,Awning Crack,The Awning > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107609958/awning-crack,2.3,-1,Boulder,V1,1,10.0,43.41871,-89.72561999999999,3,492,4,"May15,2012"
404,GeriaTricks,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106903590/geriatricks,2.3,-1,Boulder,V1,1,10.0,43.4036,-89.73416999999999,3,525,3,"Sep27,2010"
405,Groovy,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120598525/groovy,1.9,-1,Boulder,V0,1,,43.40436,-89.72961,12,321,13,"Apr24,2021"
406,traverse,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106725122/traverse,1.9,-1,Boulder,V2-3,1,25.0,43.4,-89.74329,7,994,6,"Apr9,2010"
407,Super Slab Left,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106535387/super-slab-left,1.9,-1,Boulder,V1,1,,43.42098,-89.73728,11,903,5,"Sep3,2009"
408,Friday Night Fever,3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108836478/friday-night-fever,2.2,-1,Boulder,V0,1,16.0,43.42737,-89.72676,5,871,8,"Apr9,2014"
409,Fauxnetics,"Hidden Treasure/ Reign of Giants > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/111105913/fauxnetics,2.2,-1,Boulder,V1+,1,,43.425270000000005,-89.73680999999999,5,697,8,"Oct2,2015"
410,NW Corner of Lake Boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272521/nw-corner-of-lake-boulder,2.3,-1,Boulder,V2,1,,43.40436,-89.72961,4,1209,7,"Oct8,2008"
411,The Dutchess,Loompa Land > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107320368/the-dutchess,2.2,-1,Boulder,V3,1,10.0,43.41962,-89.73644,5,905,6,"Oct8,2011"
412,Take a Stand,Clusterf@&% Area (aka Lost Face Boulders) > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108111866/take-a-stand,2.2,-1,Boulder,V3,1,,43.42055,-89.738,5,753,6,"Apr27,2013"
413,Birthday Warm-up,Bigfoot > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109649329/birthday-warm-up,2.2,-1,Boulder,V1,1,,43.417,-89.72661,6,634,6,"Oct29,2014"
414,On the DL,On the DL > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107646675/on-the-dl,2.3,-1,Boulder,V1,1,10.0,43.420790000000004,-89.72324,3,584,4,"Jun7,2012"
415,Hybrid Wanderer,Levitation (Office Project) > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107826236/hybrid-wanderer,2.3,-1,Boulder,V3,1,20.0,43.419290000000004,-89.7259,4,556,4,"Oct4,2012"
416,Smackdown,"Slap > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107646303/smackdown,2.2,-1,Boulder,V2,1,,43.42674,-89.73576,5,539,4,"Jun7,2012"
417,Tree Hugger Arete,Treehugger Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106746857/tree-hugger-arete,2.1,-1,Boulder,V2,1,,43.421440000000004,-89.7356,7,500,3,"Apr28,2010"
418,Unholy Hole,Devils Pit > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109495845/unholy-hole,2.0,-1,Boulder,V3 PG13,1,10.0,43.42199,-89.72446,7,550,5,"Sep21,2014"
419,Left of Mancuso,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106485838/left-of-mancuso,2.0,-1,Boulder,V1,1,12.0,43.40436,-89.72961,7,737,4,"Jul11,2009"
420,Flatiron-right side,4. Flatiron > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107681824/flatiron-right-side,1.4,-1,Boulder,V1,1,,43.41338,-89.71207,18,780,6,"Jun30,2012"
421,Haunted Warmup,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118759390/haunted-warmup,2.0,-1,Boulder,V0,1,,43.42157,-89.72333,6,403,11,"Apr13,2020"
422,Snake Dike,Half Dome Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106515595/snake-dike,2.0,-1,Boulder,V1+,1,10.0,43.42008,-89.7365,6,1317,8,"Aug12,2009"
423,Act of Valor,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486504/act-of-valor,1.3,-1,Boulder,V2,1,12.0,43.4,-89.74329,20,1271,8,"Jul12,2009"
424,Fixie,"The Prow (aka Tunder Tighs) > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107121331/fixie,1.8,-1,Boulder,V2,1,10.0,43.42351,-89.73640999999999,10,542,4,"May1,2011"
425,Chossome,White Knight > 02. Ghost Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108114079/chossome,1.9,-1,Boulder,V2,1,8.0,43.40899,-89.73649,9,524,4,"Apr28,2013"
426,Slice of Pie,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117266857/slice-of-pie,2.0,-1,Boulder,V1,1,10.0,43.4036,-89.73416999999999,5,487,11,"Jun25,2019"
427,Empty Beer-can,Fukness (aka Heartbreak) > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109606796/empty-beer-can,2.0,-1,Boulder,V1,1,,43.41695,-89.72691,5,560,5,"Oct19,2014"
428,Weasel on Crack,"Chilldo > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109235187/weasel-on-crack,2.0,-1,Boulder,V0,1,,43.428020000000004,-89.73584,7,567,5,"Jul16,2014"
429,Mega Man,Mega Man > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107093516/mega-man,2.0,-1,Boulder,V2-3,1,,43.42183,-89.7372,5,546,4,"Apr7,2011"
430,Old Man,Old Man Rock > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107574783/old-man,2.0,-1,Boulder,V1,1,15.0,43.41843,-89.72539,5,473,4,"Apr23,2012"
431,Trifecta,"A Slab Called Spot > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107657172/trifecta,1.8,-1,Boulder,V0,1,,43.42798,-89.7356,9,743,6,"Jun14,2012"
432,Budding,12. Basswood > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122436773/budding,2.0,-1,Boulder,V2,1,,43.4192,-89.72713,4,126,12,"May22,2022"
433,Astronomy,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122247744/astronomy,2.0,-1,Boulder,V2,1,,43.42098,-89.73728,4,140,12,"Apr17,2022"
434,Huge Jugs,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121088645/huge-jugs,2.0,-1,Boulder,V0,1,,43.41383,-89.7149,4,240,12,"Jul30,2021"
435,Dirty Whale,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122733833/dirty-whale,2.0,-1,Boulder,V0+,1,,43.4,-89.74329,4,113,12,"Jul13,2022"
436,Little Arete,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107256679/little-arete,1.9,-1,Boulder,V1+,1,,43.4249,-89.73602,8,544,4,"Aug22,2011"
437,Shivers,3. Goosebumps > Ice Age Trail > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114301674/shivers,2.0,-1,Boulder,V0,1,10.0,43.4253,-89.68943,4,517,9,"Apr26,2018"
438,Let's Go Fly a Kite,The Kite > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112295911/lets-go-fly-a-kite,2.0,-1,Boulder,V0,1,7.0,43.42086,-89.72442,4,654,8,"Nov6,2016"
439,Resin Breath,Meth Mouth > 01. Surprise > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112289437/resin-breath,2.0,-1,Boulder,V0,1,12.0,43.40951,-89.74256,4,486,6,"Nov4,2016"
440,Quaker Oats,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107331968/quaker-oats,1.7,-1,Boulder,V2,1,9.0,43.4,-89.74329,10,780,6,"Oct17,2011"
441,Still Sleeping,Sleepy Time > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107757108/still-sleeping,2.0,-1,Boulder,V1,1,,43.412420000000004,-89.71198000000001,4,504,4,"Aug20,2012"
442,lost slab,The Lost and Found Boulders > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107828271/lost-slab,2.0,-1,Boulder,V1,1,,43.4179,-89.72497,4,468,4,"Oct5,2012"
443,Three Step,Bulbous > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435571/three-step,2.0,-1,Boulder,V3,1,,43.4145,-89.72334000000001,4,560,3,"May18,2009"
444,Reservoir Dogs,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272535/reservoir-dogs,1.6,-1,Boulder,V1,1,,43.40436,-89.72961,11,765,4,"Oct8,2008"
445,Rhoads Rage,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106536068/rhoads-rage,1.6,-1,Boulder,V0,1,12.0,43.4203,-89.73666,11,519,3,"Sep4,2009"
446,Colonoscopy,Fustercluck > 02. Ghost Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122245270/colonoscopy,2.0,-1,Boulder,V3,1,,43.40893,-89.73633000000001,3,134,11,"Apr16,2022"
447,Hole-in-One,08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121541942/hole-in-one,2.0,-1,Boulder,V1-2,1,,43.41813,-89.72721999999999,3,191,11,"Oct27,2021"
448,Hop Like a Frog,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121117220/hop-like-a-frog,2.0,-1,Boulder,V3,1,12.0,43.41383,-89.7149,3,210,10,"Aug5,2021"
449,Slow Train,08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121541926/slow-train,2.0,-1,Boulder,V2,1,,43.41813,-89.72721999999999,3,149,8,"Oct27,2021"
450,The Filigree Feather,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114486404/the-filigree-feather,2.0,-1,Boulder,V3,1,,43.41357,-89.70137,3,594,10,"Jun15,2018"
451,Archaic Conception,"2.  Edge of the Earth > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117928477/archaic-conception,2.0,-1,Boulder,V1,1,,43.42476,-89.73767,3,382,9,"Oct21,2019"
452,Lou Reed Pinches,Lou Reed > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118758936/lou-reed-pinches,1.8,-1,Boulder,V1,1,,43.41471,-89.72476,5,321,9,"Apr12,2020"
453,Shark Bait,05. Shark Tooth > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113534949/shark-bait,2.0,-1,Boulder,V3,1,,43.403999999999996,-89.72462,3,583,9,"Sep1,2017"
