,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
38,Tombstone Classic,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111836969/tombstone-classic,3.4,-1,Boulder,V2,1,18.0,43.41383,-89.7149,14,1542,18,"May8,2016"
39,Dumpster Diving,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105791963/dumpster-diving,2.6,-1,Boulder,V3,1,10.0,43.4203,-89.73666,30,2569,12,"Jan29,2006"
40,Pocket Problem,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106766163/pocket-problem,2.1,-1,Boulder,V1,1,,43.4,-89.74329,40,1063,7,"May17,2010"
41,Pearl of the Sea,Ocean Floor > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122105733/pearl-of-the-sea,3.8,-1,Boulder,V2 PG13,1,,43.41659,-89.72669,4,163,13,"Mar20,2022"
42,Atari Dream,10. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112887531/atari-dream,4.0,-1,Boulder,V0 PG13,1,,43.41278,-89.70451,2,984,14,"May9,2017"
43,The Howling,"3.  Larry Collins > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117865659/the-howling,4.0,-1,Boulder,V2 R,1,,43.42388,-89.73805,2,496,12,"Oct11,2019"
44,Dreamo,Dreamo's Bluff > South of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108994674/dreamo,4.0,-1,Boulder,V3,1,12.0,43.41952,-89.74084,2,858,8,"May19,2014"
45,The Frito,Jockey Rocket > 02. Horse Rampart Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122524542/the-frito,4.0,-1,Boulder,V3 PG13,1,20.0,43.416109999999996,-89.72570999999999,1,111,11,"Jun5,2022"
46,Gefilte Fish Pillar,Soapstones > Southwest Bluff (Sauk Hill) > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120376094/gefilte-fish-pillar,4.0,-1,Boulder,V2,1,12.0,43.40882,-89.75488,1,290,11,"Mar10,2021"
47,Out of the Frying Pan,The Firepit > North of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117070065/out-of-the-frying-pan,4.0,-1,Boulder,V3 PG13,1,15.0,43.42233,-89.74276,1,543,12,"Jun3,2019"
48,Hurricane,Fire Rhoad Bluff > North of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112339398/hurricane,4.0,-1,Boulder,V3 PG13,1,,43.42327,-89.74022,1,701,9,"Nov22,2016"
49,Midwest Connection,Midwest Connection > 07. Midwest Connection Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111014962/midwest-connection,4.0,-1,Boulder,V0-1 PG13,1,,43.40401,-89.72148,1,720,8,"Sep12,2015"
