Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Texas Revolution","B: Texas Revolution Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112464392/texas-revolution,4.0,-1,Boulder,V8-9,1,20,37.61273,-89.40917
"The New Zero","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312323/the-new-zero,4.0,-1,Boulder,V13,1,15,37.61699,-89.41109
"Trillium Sit","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108412920/trillium-sit,3.7,-1,Boulder,V9,1,,37.61699,-89.41109
Cripps,"T: Brown Recluse Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112464348/cripps,4.0,-1,Boulder,"V9 X",1,30,37.61793,-89.41492
"Ol' Glory","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121243288/ol-glory,4.0,-1,Boulder,V10-11,1,,37.61824,-89.41325
"Have It","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112396906/have-it,3.8,-1,Boulder,V8,1,18,37.61824,-89.41325
"Big Meech","C: Red Sea Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392216/big-meech,3.0,-1,Boulder,V7,1,,37.61327,-89.41019
Warcraft,"T: Brown Recluse Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120152720/warcraft,4.0,-1,Boulder,"V6 R",1,30,37.61793,-89.41492
"Sweet As, Man","Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112296304/sweet-as-man,2.8,-1,Boulder,V4+,1,15,37.61516,-89.40749
"Sunny Side","S1: Cliffline Problems The Arete > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/122529945/sunny-side,4.0,-1,Boulder,"5.7 V3 PG13",1,30,37.6161,-89.41057
"Michael Jordan","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312317/michael-jordan,3.8,-1,Boulder,V12,1,,37.61699,-89.41109
Infectious,"O: Bio-Terrorism Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113791736/infectious,3.0,-1,Boulder,V2,1,,37.61886,-89.41456
"Austin's Arete","Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112794330/austins-arete,3.5,-1,Boulder,V5,1,14,37.61516,-89.40749
Suede,"R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392205/suede,3.2,-1,Boulder,V5,1,14,37.61824,-89.41325
Flugelhorn,"V: Open Gates Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/110192016/flugelhorn,3.1,-1,Boulder,V6,1,8,37.61992,-89.41143
"One Beer","H: The Bar Stool > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111305526/one-beer,2.2,-1,Boulder,V1,1,8,37.61591,-89.41086
"Stand Up to the Left","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112396990/stand-up-to-the-left,3.7,-1,Boulder,V5,1,24,37.61824,-89.41325
TexMex,"B: Texas Revolution Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112464398/texmex,3.1,-1,Boulder,V2+,1,17,37.61273,-89.40917
"Daisy Dukes","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408892/daisy-dukes,2.8,-1,Boulder,V4,1,,37.61524,-89.41119
"One Bourbon","H: The Bar Stool > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111305239/one-bourbon,2.0,-1,Boulder,V0,1,8,37.61591,-89.41086
"Jump for Jesus","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111359236/jump-for-jesus,2.8,-1,Boulder,V6,1,10,37.61824,-89.41325
"Seafoam Arete","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312223/seafoam-arete,2.9,-1,Boulder,V4,1,15,37.61583,-89.41048
Trillium,"Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312279/trillium,3.3,-1,Boulder,V8,1,12,37.61699,-89.41109
"Bill Cosby","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112790640/bill-cosby,2.9,-1,Boulder,V4,1,15,37.61824,-89.41325
